CO2_EMISSIONS,CO2_INTENSITY,GEN_EXP,INTER_NET,SNSP_ALL,SYSTEM_DEMAND,WIND_ACTUAL,Timestamp,Region
-1.0886646191200688,-0.6590559050339518,-1.4346541528834724,0.6637528589418855,1.14519925510938,-1.0651016490543193,0.02192917173755382,08-Jun-2024 07:30:00,ALL
-1.0577255718178205,-0.7342559945468649,-1.3377489337598705,0.7957756722822936,1.207561298200034,-0.8984857186434462,0.0103583742715463,08-Jun-2024 08:00:00,ALL
-1.1058529787324292,-0.9410562407073759,-1.1350130148039137,0.7957756722822936,1.3792640740767264,-0.6928191795425246,0.14805086411703583,08-Jun-2024 08:30:00,ALL
-1.0164735087481558,-0.8846561735726911,-1.034282589662275,0.7957756722822936,1.1278901053539032,-0.5925892839047336,0.13069466791802453,08-Jun-2024 09:00:00,ALL
-1.0680385875852367,-0.9786562854638324,-1.0062310788633375,0.7957756722822936,1.2628723179638783,-0.5639521708653649,0.20359069195387192,08-Jun-2024 09:30:00,ALL
-1.0439748841279322,-0.9786562854638324,-0.9552283319561785,0.7957756722822936,1.1744468077990422,-0.5131863795683019,0.18160617676845764,08-Jun-2024 10:00:00,ALL
-1.0370995402829881,-0.9974563078420607,-0.9093258597397356,0.7957756722822936,1.2455938581902375,-0.462420588271239,0.245245562831499,08-Jun-2024 10:30:00,ALL
-1.0439748841279322,-0.9974563078420607,-0.9259017524845622,0.7957756722822936,1.2342615823973122,-0.4793425187035933,0.23020352612568923,08-Jun-2024 11:00:00,ALL
-1.0508502279728764,-0.9786562854638324,-0.9679790186829683,0.7957756722822936,1.2442358264939968,-0.5379184317386659,0.1989623729674689,08-Jun-2024 11:30:00,ALL
-1.0130358368256838,-0.9222562183291476,-0.9603286066468945,0.7957756722822936,1.1941958111104771,-0.5301083100006563,0.15615042234324109,08-Jun-2024 12:00:00,ALL
-1.0577255718178205,-0.9410562407073759,-1.031732452316917,0.7957756722822936,1.1952546154838177,-0.5964943447737385,0.12606634893162152,08-Jun-2024 12:30:00,ALL
-1.0817892752751248,-0.9598562630856042,-1.0610590317885333,0.7957756722822936,1.1886792868754648,-0.6147179621624278,0.1075530729860095,08-Jun-2024 13:00:00,ALL
-1.0886646191200688,-0.9034561959509194,-1.171990006311604,0.7957756722822936,1.1424141392577671,-0.7266630404072332,0.0369712084433636,08-Jun-2024 13:30:00,ALL
-1.1127283225773734,-0.9034561959509194,-1.171990006311604,0.7957756722822936,1.194142103642264,-0.756601840402937,0.05085616540257263,08-Jun-2024 14:00:00,ALL
-1.1402296979571498,-0.8470561288162346,-1.3135226289789699,0.7957756722822936,1.1778840857646684,-0.901089092556116,-0.02898233711287928,08-Jun-2024 14:30:00,ALL
-1.1849194329492865,-0.8658561511944628,-1.3619752385407708,0.7957756722822936,1.2256837324741638,-0.9531565708095139,-0.03013941685948003,08-Jun-2024 15:00:00,ALL
-1.1299166821897335,-0.809456084059778,-1.3390240024325495,0.7957756722822936,1.184666571750414,-0.9310278925518198,-0.01856861939347251,08-Jun-2024 15:30:00,ALL
-1.1161659944998454,-0.7718560393033215,-1.356874963850055,0.7957756722822936,1.1632909994016736,-0.9453464490715042,-0.06022349027109959,08-Jun-2024 16:00:00,ALL
-1.0749139314301808,-0.7906560616815497,-1.2472190579996634,0.7957756722822936,1.1091615439385132,-0.8347030577830338,-0.03129649660608078,08-Jun-2024 16:30:00,ALL
